symbol,security,country,gics_sector,gics_sub_industry
DIBS,1stdibs.com,United States,Consumer Discretionary,Catalog/Specialty Distribution
DICE,DICE Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DIN,Dine Brands Global,United States,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation,United States,Energy,Natural Gas Distribution
DIOD,Diodesorporated,United States,Technology,Semiconductors
DIS,Walt Disney Company (The),United States,Consumer Discretionary,Movies/Entertainment
DISH,DISH Network Corporation,United States,Telecommunications,Cable & Other Pay Television Services
DIT,AMCON Distributing Company,United States,Consumer Discretionary,Food Distributors
DJCO,Daily Journal Corp. (S.C.),United States,Consumer Discretionary,Newspapers/Magazines
DK,Delek US Holdings,United States,Energy,Integrated oil Companies
DKDCA,Data Knights Acquisition Corp.,United Kingdom,Health Care,Biotechnology: Commercial Physical & Biological Resarch
DKNG,DraftKings,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods,United States,Consumer Discretionary,Other Specialty Stores
DLA,Delta Apparel,United States,Consumer Staples,Apparel
DLB,Dolby Laboratories,United States,Technology,EDP Services
DLPN,Dolphin Entertainment,United States,Consumer Discretionary,Other Consumer Services
DLR,Digital Realty Trust,United States,Real Estate,Real Estate Investment Trusts
DLTH,Duluth Holdings Class B,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DLTR,Dollar Tree,United States,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation,United States,Consumer Discretionary,Advertising
DM,Desktop Metal,United States,Technology,Computer peripheral equipment
DMA,Destra Multi-Alternative Fund,,Finance,Trusts Except Educational Religious and Charitable
DMAC,DiaMedica Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DMAQ,Deep Medicine Acquisition Corp.,United States,Industrials,Consumer Electronics/Appliances
DMB,BNY Mellon Municipal Bond Infrastructure Fund,,Finance,Trusts Except Educational Religious and Charitable
DMF,BNY Mellon Municipalome,United States,Finance,Finance/Investors Services
DMO,Western Asset Mortgage Opportunity Fund,United States,Finance,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation,United States,Technology,EDP Services
DMTK,DermTech,United States,Health Care,Medical Specialities
DMYY,dMY Squared Technology Group,,Finance,Blank Checks
DNA,Ginkgo Bioworks Holdings,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings,United States,Finance,Finance: Consumer Services
DNLI,Denali Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNMR,Danimer Scientific,United States,Industrials,Plastic Products
DNOW,NOW,United States,Industrials,Metal Fabrications
DNP,DNP Selectome Fund,United States,Finance,Investment Managers
DNUT,Krispy Kreme,United States,Consumer Staples,Food Chains
DO,Diamond Offshore Drilling,United States,Energy,Oil & Gas Production
DOCN,DigitalOcean Holdings,United States,Technology,Retail: Computer Software & Peripheral Equipment
DOCS,Doximity,United States,Technology,Retail: Computer Software & Peripheral Equipment
DOCU,DocuSign,United States,Technology,EDP Services
DOGZ,Dogness (International) Corporation,China,Consumer Discretionary,Miscellaneous manufacturing industries
DOMA,Doma Holdings,,Finance,Real Estate
DOMH,Dominari Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DOMO,Domo Class B,United States,Technology,Computer Software: Prepackaged Software
DORM,Dorman Products,United States,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Douglas Elliman,United States,Real Estate,Building operators
DOV,Dover Corporation,United States,Industrials,Industrial Machinery/Components
DOW,Dow Inc.,United States,Materials,Commodity Chemicals
DPSI,DecisionPoint Systems,,Technology,Retail: Computer Software & Peripheral Equipment
DPZ,Domino's Pizza,United States,Consumer Discretionary,Food Distributors
DRCT,Direct Digital Holdings,United States,Technology,Computer Software: Programming Data Processing
DRH,Diamondrock Hospitality Company,United States,Real Estate,Real Estate Investment Trusts
DRI,Darden Restaurants,United States,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp.,Israel,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DRQ,Dril-Quip,United States,Industrials,Metal Fabrications
DRRX,DURECT Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRS,Israel,Industrials,Military/Government/Technical
DRUG,Bright Minds Biosciences,Canada,Health Care,Pharmaceuticals and Biotechnology
DRVN,Driven Brands Holdings,United States,Consumer Discretionary,Automotive Aftermarket
DSAQ,Direct Selling Acquisition Corp.,,Finance,Blank Checks
DSGN,Design Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group,United States,Industrials,Industrial Machinery/Components
DSGX,Descartes Systems Group (The),Canada,Technology,Computer Software: Prepackaged Software
DSKE,Daseke,United States,,
DSM,BNY Mellon Strategic Municipal Bond Fund,United States,Finance,Investment Managers
DSP,Viant Technology,United States,Technology,EDP Services
DSS,DSS,United States,Consumer Discretionary,Containers/Packaging
DSU,Blackrock Debt Strategies Fund,United States,Finance,Finance Companies
DT,Dynatrace,United States,Technology,Computer Software: Prepackaged Software
DTC,Solo Brands,,Consumer Discretionary,Recreational Games/Products/Toys
DTE,DTE Energy Company,United States,Utilities,Electric Utilities: Central
DTF,DTF Tax-Freeome 2028 Term Fund,United States,Finance,Investment Managers
DTI,Drilling Tools International Corporation,United States,Industrials,Metal Fabrications
DTIL,Precision BioSciences,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTOC,Digital Transformation Opportunities Corp.,United States,Health Care,Medical/Nursing Services
DTSS,Datasea,China,Technology,Retail: Computer Software & Peripheral Equipment
DTST,Data Storage Corporation,United States,Technology,EDP Services
DUK,Duke Energy Corporation (Holding Company),United States,Industrials,Railroads
DUNE,Dune Acquisition Corporation,United States,Finance,Investment Bankers/Brokers/Service
DUOL,Duolingo,United States,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group,United States,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings,United States,Technology,Computer Software: Prepackaged Software
DVA,DaVita,United States,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation,United States,Energy,Oil & Gas Production
DWAC,Digital World Acquisition Corp.,United States,Technology,Computer Software: Programming Data Processing
DWSN,Dawson Geophysical Company,United States,Energy,Oil & Gas Production
DX,Dynex Capital,United States,Real Estate,Real Estate Investment Trusts
DXC,DXC Technology,United States,Information Technology,IT Consulting & Other Services
DXCM,DexCom,United States,Health Care,Medical/Dental Instruments
DXLG,Destination XL Group,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises,United States,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation,United States,Health Care,Medical/Dental Instruments
DXYN,Dixie Group (The),United States,Consumer Discretionary,Home Furnishings
DY,Dycom Industries,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYN,Dyne Therapeutics,United States,Health Care, Medicinal Chemicals and Botanical Products 
DYNT,Dynatronics Corporation,United States,Health Care,Medical/Dental Instruments
DZSI,DZS,United States,Utilities,Telecommunications Equipment
E,ENI S.p.A.,Italy,Energy,Oil & Gas Production
EA,Electronic Arts,United States,Technology,Computer Software: Prepackaged Software
EAC,Edify Acquisition Corp.,United States,Finance,Blank Checks
EAF,GrafTech International Ltd.,United States,Energy,Industrial Machinery/Components
EAR,Eargo,United States,Health Care,Medical Specialities
EAST,Eastside Distilling,United States,Consumer Staples,Beverages (Production/Distribution)
EAT,Brinker International,United States,Consumer Discretionary,Restaurants
EB,Eventbrite,United States,Technology,Computer Software: Programming Data Processing
EBAY,eBay,United States,Consumer Discretionary,Catalog/Specialty Distribution
EBC,Eastern Bankshares,United States,Finance,Accident &Health Insurance
EBET,EBET INC.,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
EBF,Ennis,United States,Consumer Discretionary,Office Equipment/Supplies/Services
EBIX,Ebix,United States,Technology,EDP Services
EBMT,Eagle Bancorp Montana,United States,Finance,Major Banks
EBS,Emergent Biosolutions,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EBTC,Enterprise Bancorp,United States,Finance,Major Banks
ECBK,ECB Bancorp,United States,Finance,Banks
ECC           ,Eagle Point Credit Company,United States,Finance,Trusts Except Educational Religious and Charitable
ECL,Ecolab,United States,Consumer Discretionary,Package Goods/Cosmetics
ECOR,electroCore,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECPG,Encore Capital Group,United States,Finance,Finance Companies
ECVT,Ecovyst,United States,Industrials,Major Chemicals
ED,Consolidated Edison,United States,Utilities,Power Generation
EDBL,Edible Garden AGorporated,United States,Consumer Staples,Farming/Seeds/Milling
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund,United States,Finance,Finance Companies
EDIT,Editas Medicine,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EDR,Endeavor Group Holdings,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
EDUC,Educational Development Corporation,United States,Consumer Discretionary,Consumer Specialties
EE,Excelerate Energy,,Utilities,Oil/Gas Transmission
EEA,The European Equity Fund,United States,Finance,Trusts Except Educational Religious and Charitable
EEFT,Euronet Worldwide,United States,Finance,Investment Bankers/Brokers/Service
EEIQ,EpicQuest Education Group International Limited,United States,Consumer Discretionary,Educational Services
EEX,Emerald Holding,United States,Consumer Discretionary,Business Services
EFHT,EF Hutton Acquisition Corporation I,United States,Consumer Discretionary,Auto Manufacturing
EFOI,Energy Focus,United States,Consumer Discretionary,Building Products
EFSC,Enterprise Financial Services Corporation,United States,Finance,Major Banks
EFTR,eFFECTOR Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EFX,Equifax,United States,Finance,Finance: Consumer Services
EG,Everest Group Ltd.,Bermuda,Finance,Property-Casualty Insurers
EGAN,eGain Corporation,United States,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp,United States,Finance,Major Banks
EGF,Blackrock Enhanced Government Fund,United States,Finance,Trusts Except Educational Religious and Charitable
EGGF,EG Acquisition Corp.,,Finance,Blank Checks
EGHT,8x8,United States,Technology,EDP Services
EGIO,Edgio,United States,Consumer Discretionary,Business Services
EGLE,Eagle Bulk Shipping,United States,Consumer Discretionary,Marine Transportation
EGLX,Enthusiast Gaming Holdings,Canada,Miscellaneous,Other Pharmaceuticals
EGP,EastGroup Properties,United States,Real Estate,Real Estate Investment Trusts
EGRX,Eagle Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EGY,VAALCO Energy ,United States,Energy,Oil & Gas Production
EHAB,Enhabit,,Health Care,Hospital/Nursing Management
EHC,Encompass Health Corporation,United States,Health Care,Hospital/Nursing Management
EHI,Western Asset Global Highome Fund,United States,Finance,Investment Managers
EHTH,eHealth,United States,Finance,Specialty Insurers
EIC,Eagle Pointome Company,,Finance,Finance/Investors Services
EIG,Employers Holdings,United States,Finance,Property-Casualty Insurers
EIGR,Eiger BioPharmaceuticals,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EIX,Edison International,United States,Utilities,Electric Utilities: Central
EKSO,Ekso Bionics Holdings,United States,Industrials,Industrial Machinery/Components
EL,Estee Lauder Companies (The),United States,Consumer Discretionary,Package Goods/Cosmetics
ELA,Envela Corporation,United States,Consumer Discretionary,Consumer Specialties
ELAN,Elanco Animal Healthorporated,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELBM,Electra Battery Materials Corporation,Canada,Miscellaneous,Industrial Machinery/Components
ELDN,Eledon Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,e.l.f. Beauty,United States,Consumer Discretionary,Package Goods/Cosmetics
ELMD,Electromed,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELME,Elme Communities,United States,Real Estate,Real Estate Investment Trusts
ELOX,Eloxx Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELS,Equity Lifestyle Properties,United States,Real Estate,Real Estate Investment Trusts
ELSE,Electro-Sensors,United States,Industrials,Industrial Machinery/Components
ELTX,Elicio Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELV,Elevance Health,United States,Health Care,Medical Specialities
ELVN,Enliven Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELYM,Eliem Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELYS,Elys Game Technology Corp.,United States,Technology,Computer Software: Prepackaged Software
EMAN,eMagin Corporation,United States,Technology,Industrial Machinery/Components
EMBC,Embecta Corp.,United States,Health Care,Medical/Dental Instruments
EMBK,Embark Technology,United States,Technology,Computer Software: Prepackaged Software
EMD,Western Asset Emerging Markets Debt Fund,United States,Finance,Finance/Investors Services
EME,EMCOR Group,United States,Industrials,Engineering & Construction
EMF,Templeton Emerging Markets Fund,United States,Finance,Finance/Investors Services
EMKR,EMCORE Corporation,United States,Technology,Semiconductors
EML,Eastern Company (The),United States,Consumer Discretionary,Industrial Machinery/Components
EMLD,FTAC Emerald Acquisition Corp.,United States,Finance,Blank Checks
EMN,Eastman Chemical Company,United States,Industrials,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund,United States,Finance,Investment Managers
EMR,Emerson Electric Company,United States,Technology,Consumer Electronics/Appliances
ENB,Enbridge,Canada,Energy,Oil & Gas Production
ENER,Accretion Acquisition Corp.,United States,Finance,Blank Checks
ENFN,Enfusion,United States,Technology,Computer Software: Prepackaged Software
ENG,ENGlobal Corporation,United States,Consumer Discretionary,Military/Government/Technical
ENOB,Enochian Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENOV,Enovis Corporation,United States,Health Care,Industrial Specialties
ENPH,Enphase Energy,United States,Technology,Semiconductors
ENR,Energizer Holdings,United States,Miscellaneous,Industrial Machinery/Components
ENS,EnerSys,United States,Technology,Industrial Machinery/Components
ENSC,Ensysce Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENSG,The Ensign Group,United States,Health Care,Hospital/Nursing Management
ENSV,Enservco Corporation,United States,Energy,Oilfield Services/Equipment
ENTA,Enanta Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENTG,Entegris,United States,Technology,Semiconductors
ENV,Envestnet,United States,Technology,EDP Services
ENVA,Enova International,United States,Finance,Finance: Consumer Services
ENVB,Enveric Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENVX,Enovix Corporation,United States,Miscellaneous,Industrial Machinery/Components
EOG,EOG Resources,United States,Energy,Oil & Gas Production
EOLS,Evolus,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EOS,Eaton Vance Enhance Equityome Fund II,,Finance,Trusts Except Educational Religious and Charitable
EOSE,Eos Energy Enterprises,United States,Miscellaneous,Industrial Machinery/Components
EP,Empire Petroleum Corporation,United States,Energy,Oil & Gas Production
EPAC,Enerpac Tool Group Corp.,United States,Industrials,Industrial Machinery/Components
EPAM,EPAM Systems,United States,Technology,EDP Services
EPC,Edgewell Personal Care Company,United States,Consumer Discretionary,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P.,United States,Utilities,Natural Gas Distribution
EPIX,ESSA Pharma,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
EPM,Evolution Petroleum Corporation,United States,Energy,Oil & Gas Production
EPR,EPR Properties,United States,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust,United States,Real Estate,Real Estate Investment Trusts
EQ,Equillium,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EQBK,Equity Bancshares,United States,Finance,Major Banks
EQH,Equitable Holdings,United States,Finance,Specialty Insurers
EQIX,Equinix,United States,Real Estate,Data Center REITs
EQR,Equity Residential,United States,Real Estate,Residential REITs
EQRX,EQRx ,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EQS,Equus Total Return,United States,Finance,Finance/Investors Services
EQT,EQT Corporation,United States,Energy,Oil & Gas Production
ERAS,Erasca,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ERC,Allspring Multi-Sectorome Fund,United States,Finance,Finance/Investors Services
ERF,Enerplus Corporation,Canada,Energy,Oil & Gas Production
ERIE,Erie Indemnity Company,United States,Finance,Specialty Insurers
ERII,Energy Recovery,United States,Technology,Industrial Machinery/Components
ERJ,Embraer S.A.,Brazil,Industrials,Aerospace
ERNA,Eterna Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ES,Eversource Energy (D/B/A),United States,Utilities,Electric Utilities: Central
ESAB,ESAB Corporation,United States,Industrials,Office Equipment/Supplies/Services
ESCA,Escaladeorporated,United States,Consumer Discretionary,Recreational Games/Products/Toys
ESE,ESCO Technologies,United States,Telecommunications,Telecommunications Equipment
ESHA,ESH Acquisition Corp.,United States,Finance,Blank Checks
ESI,Element Solutions,United States,Industrials,Major Chemicals
ESMT,EngageSmart,,Technology,EDP Services
ESOA,Energy Services of America Corporation,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction
ESP,Espey Mfg. & Electronics Corp.,United States,Technology,Industrial Machinery/Components
ESPR,Esperion Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ESQ,Esquire Financial Holdings,United States,Finance,Commercial Banks
ESRT,Empire State Realty Trust,United States,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust,United States,Real Estate,Real Estate Investment Trusts
ESSA,ESSA Bancorp,United States,Finance,Banks
ESTE,Earthstone Energy,United States,Energy,Oil & Gas Production
ETD,Ethan Allen Interiors,United States,Consumer Discretionary,Home Furnishings
ETN,Eaton Corporation,United States,Industrials,Electrical Components & Equipment
ETNB,89bio,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,United States,Finance,Investment Managers
ETON,Eton Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ETR,Entergy Corporation,United States,Utilities,Electric Utilities: Central
ETSY,Etsy,United States,Consumer Discretionary,Business Services
ETWO,E2open Parent HoldingsClass A,,Technology,EDP Services
EVA,Enviva,United States,Basic Materials,Forest Products
EVBG,Everbridge,United States,Technology,Retail: Computer Software & Peripheral Equipment
EVBN,Evans Bancorp,United States,Finance,Major Banks
EVC,Entravision Communications Corporation,United States,Industrials,Broadcasting
EVCM,EverCommerce,United States,Technology,EDP Services
EVER,EverQuote,United States,Technology,Computer Software: Programming Data Processing
EVEX,Eve Holding,,Industrials,Aerospace
EVF,Eaton Vance Seniorome Trust,United States,Finance,Investment Bankers/Brokers/Service
EVGO,EVgo,United States,Consumer Discretionary,Other Specialty Stores
EVH,Evolent Health,United States,Consumer Discretionary,Other Consumer Services
EVI,EVI Industries ,United States,Consumer Discretionary,Other Consumer Services
EVLO,Evelo Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EVLV,Evolv Technologies Holdings,United States,Technology,Computer peripheral equipment
EVN,Eaton Vance Municipalome Trust,United States,Finance,Investment Bankers/Brokers/Service
EVOK,Evoke Pharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EVR,Evercore,United States,Finance,Investment Managers
EVRG,Evergy,United States,Utilities,Power Generation
EVRI,Everi Holdings,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
EVTC,Evertec,Puerto Rico,Technology,EDP Services
EVTV,Envirotech Vehicles,United States,Consumer Discretionary,Auto Manufacturing
EW,Edwards Lifesciences Corporation,United States,Health Care,Industrial Specialties
EWBC,East West Bancorp,United States,Finance,Major Banks
EWCZ,European Wax Center,United States,Consumer Discretionary,Package Goods/Cosmetics
EWTX,Edgewise Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EXAS,Exact Sciences Corporation,United States,Health Care,Medical Specialities
EXC,Exelon Corporation,United States,Utilities,Power Generation
EXEL,Exelixis,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXFY,Expensify,United States,Technology,Computer Software: Prepackaged Software
EXLS,ExlService Holdings,United States,Consumer Discretionary,Business Services
EXP,Eagle Materials,United States,Industrials,Building Materials
EXPD,Expeditors International of Washington,United States,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group,United States,Consumer Discretionary,Transportation Services
EXPI,eXp World Holdings,United States,Finance,Real Estate
EXPO,Exponent,United States,Consumer Discretionary,Professional Services
EXPR,Express,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
EXR,Extra Space Storage,United States,Real Estate,Real Estate Investment Trusts
EXTR,Extreme Networks,United States,Telecommunications,Computer Communications Equipment
EYE,National Vision Holdings,United States,Health Care,Ophthalmic Goods
EYEN,Eyenovia,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EYPT,EyePoint Pharmaceuticals,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
EZFL,EzFill Holdings,United States,Technology,EDP Services
EZPW,EZCORP Non Voting,United States,Consumer Discretionary,Other Specialty Stores
F,Ford Motor Company,United States,Consumer Discretionary,Auto Manufacturing
FA,First Advantage Corporation,United States,Consumer Discretionary,Business Services
FAF,First American Corporation (New),United States,Finance,Specialty Insurers
FANG,Diamondback Energy,United States,Energy,Oil & Gas Production
FARM,Farmer Brothers Company,United States,Consumer Staples,Packaged Foods
FARO,FARO Technologies,United States,Industrials,Industrial Machinery/Components
FAST,Fastenal Company,United States,Consumer Discretionary,RETAIL: Building Materials
FAT,FAT Brands,United States,Consumer Discretionary,Restaurants
FATBB,FAT Brands Class B,United States,Consumer Discretionary,Restaurants
FATE,Fate Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FATH,Fathom Digital Manufacturing Corporation,,Technology,Computer peripheral equipment
FAX,abrdn Asia-Pacificome Fund,United States,Finance,Investment Managers
FAZE,FaZe Holdings,United States,Industrials,Industrial Machinery/Components
FBIN,Fortune Brands Innovations,United States,Basic Materials,Forest Products
FBIO,Fortress Biotech,United States,Health Care,Biotechnology: Pharmaceutical Preparations
FBIZ,First Business Financial Services,United States,Finance,Major Banks
FBK,FB Financial Corporation,United States,Finance,Major Banks
FBNC,First Bancorp,United States,Finance,Major Banks
FBP,First BanCorp. New,Puerto Rico,Finance,Major Banks
FBRT,Franklin BSP Realty Trust,United States,Real Estate,Real Estate Investment Trusts
FBRX,Forte Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations
FC,Franklin Covey Company,United States,Consumer Discretionary,Professional Services
FCAP,First Capital,United States,Finance,Savings Institutions
FCBC,First Community Bankshares (VA),United States,Finance,Major Banks
FCCO,First Community Corporation,United States,Finance,Major Banks
FCEL,FuelCell Energy,United States,Energy,Industrial Machinery/Components
FCF,First Commonwealth Financial Corporation,United States,Finance,Major Banks
FCFS,FirstCash Holdings,United States,Consumer Discretionary,Other Specialty Stores
FCN,FTI Consulting,United States,Consumer Discretionary,Professional Services
FCNCA,First Citizens BancShares,United States,Finance,Major Banks
FCO,abrdn Globalome Fund,United States,Finance,Investment Managers
FCPT,Four Corners Property Trust,United States,Real Estate,Real Estate Investment Trusts
FCUV,Focus Universal,United States,Industrials,Industrial Machinery/Components
FCX,Freeport-McMoRan,United States,Basic Materials,Metal Mining
FDBC,Fidelity D & D Bancorp,United States,Finance,Major Banks
FDMT,4D Molecular Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations
FDP,Fresh Del Monte Produce,Cayman Islands,Consumer Staples,Farming/Seeds/Milling
FDS,FactSet Research Systems,United States,Technology,Computer Software: Programming Data Processing
FDUS,Fidus Investment Corporation,United States,Finance,Finance/Investors Services
FDX,FedEx Corporation,United States,Consumer Discretionary,Air Freight/Delivery Services
FE,FirstEnergy Corp.,United States,Utilities,Electric Utilities: Central
FEAM,5E Advanced Materials,United States,Industrials,Major Chemicals
FEIM,Frequency Electronics,United States,Industrials,Electrical Products
FELE,Franklin Electric Co.,United States,Consumer Discretionary,Metal Fabrications
FEMY,Femasys,United States,Health Care,Medical/Dental Instruments
FENC,Fennec Pharmaceuticals,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FET,Forum Energy Technologies,United States,Industrials,Metal Fabrications
FEXD,Fintech Ecosystem Development Corp.,United States,Finance,Blank Checks
FFBC,First Financial Bancorp.,United States,Finance,Major Banks
FFIC,Flushing Financial Corporation,United States,Finance,Major Banks
FFIE,Faraday Future Intelligent Electric,United States,Consumer Discretionary,Auto Manufacturing
FFIN,First Financial Bankshares,United States,Finance,Major Banks
FFIV,F5,United States,Telecommunications,Computer Communications Equipment
FFNW,First Financial Northwest,United States,Finance,Banks
FFWM,First Foundation,United States,Finance,Major Banks
FG,F&G Annuities & Life,,Finance,Life Insurance
FGBI,First Guaranty Bancshares,United States,Finance,Major Banks
FGEN,FibroGen,United States,Health Care,Biotechnology: Pharmaceutical Preparations
FGH,FG Group Holdings,United States,Consumer Discretionary,Industrial Machinery/Components
FGMC,FG Merger Corp.,United States,Technology,Computer Software: Prepackaged Software
FHB,First Hawaiian,United States,Finance,Major Banks
FHI,Federated Hermes,United States,Finance,Investment Managers
FHN,First Horizon Corporation,United States,Finance,Major Banks
FHTX,Foghorn Therapeutics,United States,Health Care, Medicinal Chemicals and Botanical Products 
FI,Fiserv,United States,Consumer Discretionary,Business Services
FIAC,Focus Impact Acquisition Corp.,United States,Finance,Blank Checks
FICO,Fair Isaac Corproation,United States,Consumer Discretionary,Business Services
FIGS,FIGS,United States,Consumer Discretionary,Apparel
FINW,FinWise Bancorp,United States,Finance,Commercial Banks
FIS,Fidelity National Information Services,United States,Consumer Discretionary,Business Services
FISI,Financial Institutions,United States,Finance,Major Banks
FISV,Fiserv,United States,Financials,Transaction & Payment Processing Services
FITB,Fifth Third Bancorp,United States,Finance,Major Banks
FIVE,Five Below,United States,Consumer Discretionary,Department/Specialty Retail Stores
FIVN,Five9,United States,Technology,EDP Services
FIX,Comfort Systems USA,United States,Industrials,Engineering & Construction
FIXX,Homology Medicines,United States,Health Care,Biotechnology: Pharmaceutical Preparations
FIZZ,National Beverage Corp.,United States,Consumer Staples,Beverages (Production/Distribution)
FKWL,Franklin Wireless Corp.,United States,Utilities,Telecommunications Equipment
FLAG,First Light Acquisition Group,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FLC,Flaherty & Crumrine Total Return Fund,United States,Finance,Trusts Except Educational Religious and Charitable
FLFV,Feutune Light Acquisition Corporation,United States,Finance,Blank Checks
FLGC,Flora Growth Corp.,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
FLGT,Fulgent Genetics,United States,Health Care,Medical Specialities
FLIC,First of Long Island Corporation (The),United States,Finance,Major Banks
FLL,Full House Resorts,United States,Consumer Discretionary,Hotels/Resorts
FLME,Flame Acquisition Corp.,,Energy,Oil & Gas Production
FLNC,Fluence Energy,United States,Miscellaneous,Industrial Machinery/Components
FLNT,Fluent,United States,Consumer Discretionary,Advertising
FLO,Flowers Foods,United States,Consumer Staples,Packaged Foods
FLR,Fluor Corporation,United States,Industrials,Military/Government/Technical
FLS,Flowserve Corporation,United States,Industrials,Fluid Controls
FLT,FleetCor Technologies,United States,Consumer Discretionary,Business Services
FLUX,Flux Power Holdings,United States,Miscellaneous,Industrial Machinery/Components
FLWS,1-800-FLOWERS.COM,United States,Consumer Discretionary,Catalog/Specialty Distribution
FLXS,Flexsteel Industries,United States,Consumer Discretionary,Home Furnishings
FLYW,Flywire Corporation Voting,United States,Technology,Computer Software: Prepackaged Software
FMAO,Farmers & Merchants Bancorp,United States,Finance,Savings Institutions
FMBH,First Mid Bancshares,United States,Finance,Major Banks
FMC,FMC Corporation,United States,Industrials,Major Chemicals
